K=1,weight=0.000000,tolerance=0.100000, penalty=1,training time : 0.276261, testing time: 0.016955 
K=4,weight=8.000000,tolerance=0.001000, penalty=1,training time : 2.989007, testing time: 0.027925 
K=4,weight=8.000000,tolerance=0.001000, penalty=10,training time : 3.976368, testing time: 0.028922 
K=4,weight=8.000000,tolerance=0.001000, penalty=20,training time : 3.132624, testing time: 0.028923 
K=4,weight=8.000000,tolerance=0.001000, penalty=30,training time : 3.150575, testing time: 0.033910 
K=4,weight=8.000000,tolerance=0.001000, penalty=40,training time : 3.222384, testing time: 0.032913 
K=4,weight=8.000000,tolerance=0.000010, penalty=1,training time : 3.041867, testing time: 0.034907 
K=4,weight=8.000000,tolerance=0.000010, penalty=10,training time : 4.567694, testing time: 0.028922 
K=4,weight=8.000000,tolerance=0.000010, penalty=20,training time : 3.952432, testing time: 0.034906 
K=4,weight=8.000000,tolerance=0.000010, penalty=30,training time : 3.207424, testing time: 0.028923 
K=4,weight=8.000000,tolerance=0.000010, penalty=40,training time : 3.143595, testing time: 0.031916 
K=5,weight=0.000000,tolerance=0.100000, penalty=1,training time : 6.372960, testing time: 0.032913 
K=5,weight=0.000000,tolerance=0.100000, penalty=10,training time : 6.235328, testing time: 0.031915 
K=5,weight=0.000000,tolerance=0.100000, penalty=20,training time : 6.179477, testing time: 0.032912 
K=5,weight=0.000000,tolerance=0.100000, penalty=30,training time : 5.519243, testing time: 0.032911 
K=5,weight=0.000000,tolerance=0.100000, penalty=40,training time : 4.197776, testing time: 0.032912 
K=5,weight=0.000000,tolerance=0.001000, penalty=1,training time : 6.895562, testing time: 0.032912 
K=5,weight=0.000000,tolerance=0.001000, penalty=10,training time : 6.479675, testing time: 0.031915 
K=5,weight=0.000000,tolerance=0.001000, penalty=20,training time : 4.749301, testing time: 0.031915 
K=5,weight=0.000000,tolerance=0.001000, penalty=30,training time : 4.776229, testing time: 0.031915 
K=5,weight=0.000000,tolerance=0.001000, penalty=40,training time : 4.258613, testing time: 0.032912 
K=5,weight=0.000000,tolerance=0.000010, penalty=1,training time : 7.012251, testing time: 0.034907 
K=5,weight=0.000000,tolerance=0.000010, penalty=10,training time : 4.199770, testing time: 0.032912 
K=5,weight=0.000000,tolerance=0.000010, penalty=20,training time : 5.556170, testing time: 0.033909 
K=5,weight=0.000000,tolerance=0.000010, penalty=30,training time : 4.213732, testing time: 0.033909 
K=5,weight=0.000000,tolerance=0.000010, penalty=40,training time : 4.237669, testing time: 0.033909 
K=5,weight=2.000000,tolerance=0.100000, penalty=1,training time : 4.741322, testing time: 0.033911 
K=5,weight=2.000000,tolerance=0.100000, penalty=10,training time : 6.226352, testing time: 0.033910 
K=5,weight=2.000000,tolerance=0.100000, penalty=20,training time : 7.121957, testing time: 0.031915 
K=5,weight=2.000000,tolerance=0.100000, penalty=30,training time : 5.436464, testing time: 0.036902 
K=5,weight=2.000000,tolerance=0.100000, penalty=40,training time : 9.312100, testing time: 0.032912 
K=5,weight=2.000000,tolerance=0.001000, penalty=1,training time : 5.006613, testing time: 0.035904 
K=5,weight=2.000000,tolerance=0.001000, penalty=10,training time : 5.629947, testing time: 0.031915 
K=5,weight=2.000000,tolerance=0.001000, penalty=20,training time : 7.982656, testing time: 0.032912 
K=5,weight=2.000000,tolerance=0.001000, penalty=30,training time : 6.380938, testing time: 0.031914 
K=5,weight=2.000000,tolerance=0.001000, penalty=40,training time : 7.083061, testing time: 0.032913 
K=5,weight=2.000000,tolerance=0.000010, penalty=1,training time : 5.363658, testing time: 0.036901 
K=5,weight=2.000000,tolerance=0.000010, penalty=10,training time : 6.417840, testing time: 0.032913 
K=5,weight=2.000000,tolerance=0.000010, penalty=20,training time : 6.378944, testing time: 0.032912 
K=5,weight=2.000000,tolerance=0.000010, penalty=30,training time : 5.334736, testing time: 0.032912 
K=5,weight=2.000000,tolerance=0.000010, penalty=40,training time : 7.938773, testing time: 0.032912 
K=5,weight=4.000000,tolerance=0.100000, penalty=1,training time : 4.815125, testing time: 0.032913 
K=5,weight=4.000000,tolerance=0.100000, penalty=10,training time : 6.237323, testing time: 0.031968 
K=5,weight=4.000000,tolerance=0.100000, penalty=20,training time : 4.720378, testing time: 0.032912 
K=5,weight=4.000000,tolerance=0.100000, penalty=30,training time : 4.607679, testing time: 0.032912 
K=5,weight=4.000000,tolerance=0.100000, penalty=40,training time : 6.310127, testing time: 0.032912 
K=5,weight=4.000000,tolerance=0.001000, penalty=1,training time : 5.210069, testing time: 0.032912 
K=5,weight=4.000000,tolerance=0.001000, penalty=10,training time : 5.633935, testing time: 0.033909 
K=5,weight=4.000000,tolerance=0.001000, penalty=20,training time : 7.398218, testing time: 0.038896 
K=5,weight=4.000000,tolerance=0.001000, penalty=30,training time : 4.579755, testing time: 0.034906 
K=5,weight=4.000000,tolerance=0.001000, penalty=40,training time : 4.725365, testing time: 0.033909 
K=5,weight=4.000000,tolerance=0.000010, penalty=1,training time : 5.334736, testing time: 0.035905 
K=5,weight=4.000000,tolerance=0.000010, penalty=10,training time : 4.600699, testing time: 0.035906 
K=5,weight=4.000000,tolerance=0.000010, penalty=20,training time : 5.432474, testing time: 0.031915 
K=5,weight=4.000000,tolerance=0.000010, penalty=30,training time : 5.726687, testing time: 0.032912 
K=5,weight=4.000000,tolerance=0.000010, penalty=40,training time : 7.013248, testing time: 0.033909 
K=5,weight=6.000000,tolerance=0.100000, penalty=1,training time : 5.499296, testing time: 0.032912 
K=5,weight=6.000000,tolerance=0.100000, penalty=10,training time : 5.590053, testing time: 0.032912 
K=5,weight=6.000000,tolerance=0.100000, penalty=20,training time : 5.584069, testing time: 0.032913 
K=5,weight=6.000000,tolerance=0.100000, penalty=30,training time : 5.424496, testing time: 0.032912 
K=5,weight=6.000000,tolerance=0.100000, penalty=40,training time : 5.679814, testing time: 0.035904 
K=5,weight=6.000000,tolerance=0.001000, penalty=1,training time : 5.725691, testing time: 0.032913 
K=5,weight=6.000000,tolerance=0.001000, penalty=10,training time : 6.350021, testing time: 0.032912 
K=5,weight=6.000000,tolerance=0.001000, penalty=20,training time : 6.322096, testing time: 0.032912 
K=5,weight=6.000000,tolerance=0.001000, penalty=30,training time : 5.551157, testing time: 0.032912 
K=5,weight=6.000000,tolerance=0.001000, penalty=40,training time : 6.445765, testing time: 0.032912 
K=5,weight=6.000000,tolerance=0.000010, penalty=1,training time : 6.072761, testing time: 0.098737 
K=5,weight=6.000000,tolerance=0.000010, penalty=10,training time : 6.237322, testing time: 0.032913 
K=5,weight=6.000000,tolerance=0.000010, penalty=20,training time : 4.660539, testing time: 0.040890 
K=5,weight=6.000000,tolerance=0.000010, penalty=30,training time : 5.405546, testing time: 0.038897 
K=5,weight=6.000000,tolerance=0.000010, penalty=40,training time : 6.332069, testing time: 0.033910 
K=5,weight=8.000000,tolerance=0.100000, penalty=1,training time : 6.319103, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.100000, penalty=10,training time : 7.191771, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.100000, penalty=20,training time : 7.100015, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.100000, penalty=30,training time : 5.679813, testing time: 0.032913 
K=5,weight=8.000000,tolerance=0.100000, penalty=40,training time : 5.540186, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.001000, penalty=1,training time : 6.716042, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.001000, penalty=10,training time : 6.273227, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.001000, penalty=20,training time : 6.421829, testing time: 0.035903 
K=5,weight=8.000000,tolerance=0.001000, penalty=30,training time : 3.716064, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.001000, penalty=40,training time : 6.421828, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.000010, penalty=1,training time : 6.708913, testing time: 0.034907 
K=5,weight=8.000000,tolerance=0.000010, penalty=10,training time : 7.380266, testing time: 0.032912 
K=5,weight=8.000000,tolerance=0.000010, penalty=20,training time : 5.417514, testing time: 0.031915 
K=5,weight=8.000000,tolerance=0.000010, penalty=30,training time : 7.130933, testing time: 0.034907 
K=5,weight=8.000000,tolerance=0.000010, penalty=40,training time : 7.153872, testing time: 0.033909 
